,Directory,Filename,Creation,Lot_No
115,F:\APPS\CofA,ICP-133@G00294A.pdf,2015-04-28 13:44:16.622206,ICP-133
116,F:\APPS\CofA,ICP-133@J00557.pdf,2015-04-28 13:46:07.458806,ICP-133
117,F:\APPS\CofA,ICP-133@J01203.pdf,2015-04-28 13:46:59.293006,ICP-133
118,F:\APPS\CofA,ICP-133@J01221.pdf,2015-04-28 13:47:36.551806,ICP-133
119,F:\APPS\CofA,ICP-133@L00700.pdf,2015-04-28 13:48:17.248606,ICP-133
120,F:\APPS\CofA,ICP-133@M00736.pdf,2015-04-28 13:48:51.933406,ICP-133
121,F:\APPS\CofA,ICP-133@T00590.pdf,2015-03-19 09:00:33.193511,ICP-133
122,F:\APPS\CofA,ICP-333@AU-00025.pdf,2015-04-17 09:58:40.036000,ICP-333
123,F:\APPS\CofA,ICP-333@AU-00938.pdf,2016-12-05 11:35:50.930000,ICP-333
124,F:\APPS\CofA,ICP-333@AU-01246.pdf,2018-04-05 12:07:52.054406,ICP-333
125,F:\APPS\CofA,ICP-433@AU-00058.pdf,2015-06-19 16:27:01.255470,ICP-433
126,F:\APPS\CofA,ICP-433@AU-01101.pdf,2018-05-16 16:23:14.090036,ICP-433
127,F:\APPS\CofA,IAA-233@0006460822.pdf,2019-04-12 15:30:42.921438,IAA-233
128,F:\APPS\CofA,IAA-233@CL-3447.pdf,2014-09-11 12:58:02.599630,IAA-233
129,F:\APPS\CofA,IAA-233@CM-5800.pdf,2015-11-10 12:45:34.739651,IAA-233
130,F:\APPS\CofA,IAA-233@J01073.pdf,2015-03-25 16:37:48.973331,IAA-233
131,F:\APPS\CofA,IAA-233@J01103.pdf,2015-03-25 16:41:15.877457,IAA-233
132,F:\APPS\CofA,IAA-233@L00090.pdf,2015-03-25 16:41:57.295722,IAA-233
133,F:\APPS\CofA,IAA-233@L01213.pdf,2015-03-25 16:42:43.910426,IAA-233
134,F:\APPS\CofA,IAA-233@N081429.pdf,2015-11-02 15:37:37.877532,IAA-233
135,F:\APPS\CofA,IAA-233@N083081.pdf,2018-01-09 14:09:30.763791,IAA-233
136,F:\APPS\CofA,IAA-233@R00893.pdf,2015-03-25 16:37:04.470774,IAA-233
137,F:\APPS\CofA,IAA-033@E00346Z.pdf,2015-03-24 10:43:41.713413,IAA-033
138,F:\APPS\CofA,IAA-033@L00810.pdf,2015-03-24 10:45:05.844213,IAA-033
139,F:\APPS\CofA,IAA-033@M00612.pdf,2015-03-24 10:46:06.341013,IAA-033
140,F:\APPS\CofA,IAA-033@M00612A.pdf,2019-04-04 09:16:20.064524,IAA-033
141,F:\APPS\CofA,IAA-033@M01086.pdf,2015-03-24 10:48:02.821039,IAA-033
142,F:\APPS\CofA,IAA-033@N083165.pdf,2018-03-14 15:01:29.486713,IAA-033
143,F:\APPS\CofA,IAA-256@CL-3558.pdf,2015-03-26 14:03:23.253238,IAA-256
144,F:\APPS\CofA,IAA-256@CP-2321.pdf,2016-05-12 10:33:00.666632,IAA-256
145,F:\APPS\CofA,IAA-256@D00891Z.pdf,2015-03-26 14:03:03.073622,IAA-256
146,F:\APPS\CofA,IAA-256@J01035.pdf,2015-03-26 14:04:45.313222,IAA-256
147,F:\APPS\CofA,IAA-256@J01041.pdf,2015-03-26 14:05:55.561222,IAA-256
148,F:\APPS\CofA,IAA-256@K00881.pdf,2015-03-26 14:06:34.608022,IAA-256
149,F:\APPS\CofA,IAA-256@T00231.pdf,2015-03-26 14:03:37.534397,IAA-256
150,F:\APPS\CofA,IAA-056@E00351Z.pdf,2015-03-24 13:57:27.599755,IAA-056
151,F:\APPS\CofA,IAA-056@L01142.pdf,2015-03-24 13:58:40.904155,IAA-056
152,F:\APPS\CofA,IAA-056@N082764.pdf,2017-08-31 13:38:50.929787,IAA-056
153,F:\APPS\CofA,IAA-056@P00036.pdf,2015-03-24 13:59:38.343355,IAA-056
154,F:\APPS\CofA,ICP-056@CM-2389.pdf,2015-05-08 07:34:42.962548,ICP-056
155,F:\APPS\CofA,ICP-056@CP-5616.pdf,2016-11-14 07:54:01.220698,ICP-056
156,F:\APPS\CofA,ICP-056@CS-0979.pdf,2018-03-07 14:35:09.022804,ICP-056
157,F:\APPS\CofA,ICP-056@G00913A.pdf,2015-04-21 11:16:38.248431,ICP-056
158,F:\APPS\CofA,ICP-056@J01041.pdf,2015-04-21 11:17:55.448027,ICP-056
159,F:\APPS\CofA,ICP-056@L00426.pdf,2015-04-21 11:19:52.680270,ICP-056
160,F:\APPS\CofA,ICP-056@L01214.pdf,2015-04-21 11:20:26.471654,ICP-056
161,F:\APPS\CofA,ICP-056@T00231.pdf,2015-03-26 16:35:42.007509,ICP-056
162,F:\APPS\CofA,ICP-156@0006504778.pdf,2019-12-03 12:56:03.197358,ICP-156
163,F:\APPS\CofA,ICP-156@CM-6544.pdf,2016-01-04 14:17:08.956166,ICP-156
164,F:\APPS\CofA,ICP-156@CR-3579.pdf,2017-08-04 12:39:11.142762,ICP-156
165,F:\APPS\CofA,ICP-156@K00111.pdf,2015-04-28 17:53:37.110546,ICP-156
166,F:\APPS\CofA,ICP-156@K01087.pdf,2015-04-28 17:54:05.661546,ICP-156
167,F:\APPS\CofA,ICP-156@L01142.pdf,2015-04-28 17:54:36.853946,ICP-156
168,F:\APPS\CofA,ICP-156@P00036.pdf,2015-04-28 17:55:08.568746,ICP-156
169,F:\APPS\CofA,ICP-156@R01021.pdf,2015-03-31 11:03:22.810136,ICP-156
170,F:\APPS\CofA,ICP-356@AU-00033.pdf,2015-03-30 07:47:51.073000,ICP-356
171,F:\APPS\CofA,ICP-356@AU-00894.pdf,2015-08-25 10:20:14.373259,ICP-356
172,F:\APPS\CofA,ICP-356@AU-01069.pdf,2018-09-04 16:21:00.273566,ICP-356
173,F:\APPS\CofA,ICP-456@0006494286.pdf,2019-10-11 11:52:11.447051,ICP-456
174,F:\APPS\CofA,ICP-456@AU-00809.pdf,2017-11-20 13:09:02.857021,ICP-456
175,F:\APPS\CofA,IAA-204@CM-0061.pdf,2015-03-25 09:20:13.961815,IAA-204
176,F:\APPS\CofA,IAA-204@J01074.pdf,2015-03-25 09:21:28.132888,IAA-204
177,F:\APPS\CofA,IAA-204@L00278.pdf,2015-03-25 09:24:06.972909,IAA-204
178,F:\APPS\CofA,IAA-204@M00043.pdf,2015-03-25 09:25:13.417994,IAA-204
179,F:\APPS\CofA,IAA-204@N081692.pdf,2016-02-11 10:47:24.284951,IAA-204
180,F:\APPS\CofA,IAA-204@N081785.pdf,2016-03-31 14:55:31.293205,IAA-204
181,F:\APPS\CofA,IAA-204@N083014.pdf,2017-12-19 10:39:01.739634,IAA-204
182,F:\APPS\CofA,IAA-204@R00202.pdf,2015-03-25 09:20:25.742990,IAA-204
183,F:\APPS\CofA,IAA-004@J01222.pdf,2015-03-19 11:10:32.457954,IAA-004
184,F:\APPS\CofA,IAA-004@L01180.pdf,2015-03-19 11:11:15.529554,IAA-004
185,F:\APPS\CofA,IAA-004@N082599.pdf,2017-06-05 06:46:24.852015,IAA-004
186,F:\APPS\CofA,IAA-004@R00171.pdf,2015-03-19 11:09:31.873257,IAA-004
187,F:\APPS\CofA,ICP-004@0006479275.pdf,2019-07-30 07:43:39.791299,ICP-004
188,F:\APPS\CofA,ICP-004@CM-0061.pdf,2015-03-17 10:19:09.502086,ICP-004
189,F:\APPS\CofA,ICP-004@CP-1237.pdf,2016-03-21 10:20:07.955546,ICP-004
190,F:\APPS\CofA,ICP-004@CR-3964.pdf,2017-08-30 08:15:59.057211,ICP-004
191,F:\APPS\CofA,ICP-004@J01074.pdf,2015-04-08 16:07:03.521188,ICP-004
192,F:\APPS\CofA,ICP-004@L00278.pdf,2015-04-08 16:12:32.038764,ICP-004
193,F:\APPS\CofA,ICP-004@M00043.pdf,2015-04-08 16:13:31.686853,ICP-004
194,F:\APPS\CofA,ICP-104@CP-0170.pdf,2016-01-18 12:49:02.574955,ICP-104
195,F:\APPS\CofA,ICP-104@CS-1785.pdf,2018-04-13 08:41:44.581756,ICP-104
196,F:\APPS\CofA,ICP-104@J01222.pdf,2015-04-22 11:11:14.839490,ICP-104
197,F:\APPS\CofA,ICP-104@L01180.pdf,2015-04-22 11:12:56.534743,ICP-104
198,F:\APPS\CofA,ICP-104@M00347.pdf,2015-04-22 11:13:30.558689,ICP-104
199,F:\APPS\CofA,ICP-104@M00771.pdf,2015-04-22 11:14:08.733155,ICP-104
200,F:\APPS\CofA,ICP-104@R00171.pdf,2015-04-22 11:07:23.102436,ICP-104
201,F:\APPS\CofA,ICP-104@T00672.pdf,2015-04-22 11:07:35.461811,ICP-104
202,F:\APPS\CofA,ICP-304@0006519825.pdf,2020-02-26 16:27:10.187640,ICP-304
203,F:\APPS\CofA,ICP-304@AU-00005.pdf,2015-04-17 09:59:55.732000,ICP-304
204,F:\APPS\CofA,ICP-304@AU-00980.pdf,2017-06-05 09:17:09.424000,ICP-304
205,F:\APPS\CofA,ICP-404@AU-01122.pdf,2017-03-02 13:43:47.594230,ICP-404
206,F:\APPS\CofA,ICP-404@AU-01324.pdf,2018-12-01 07:48:31.788978,ICP-404
207,F:\APPS\CofA,IAA-283@0006497976.pdf,2019-10-16 14:02:05.341712,IAA-283
208,F:\APPS\CofA,IAA-283@J00338.pdf,2015-03-26 15:47:17.410024,IAA-283
209,F:\APPS\CofA,IAA-283@J01092.pdf,2015-03-26 15:48:25.035224,IAA-283
210,F:\APPS\CofA,IAA-283@K00914.pdf,2015-03-26 15:49:42.039224,IAA-283
211,F:\APPS\CofA,IAA-283@L00784.pdf,2015-03-26 15:50:39.338025,IAA-283
212,F:\APPS\CofA,IAA-283@M00246.pdf,2015-03-26 15:51:38.952825,IAA-283
213,F:\APPS\CofA,IAA-283@N081475.pdf,2015-12-01 09:44:25.593661,IAA-283
214,F:\APPS\CofA,IAA-283@T00507.pdf,2014-07-11 07:30:58.301125,IAA-283
215,F:\APPS\CofA,IAA-083@H00260A.pdf,2015-03-24 16:15:39.173023,IAA-083
216,F:\APPS\CofA,IAA-083@M00201.pdf,2015-03-24 16:18:17.683424,IAA-083
217,F:\APPS\CofA,IAA-083@N081675.pdf,2016-02-04 07:46:02.126389,IAA-083
218,F:\APPS\CofA,IAA-083@N081884.pdf,2016-05-24 13:24:59.540904,IAA-083
219,F:\APPS\CofA,ICP-083@CM-6090.pdf,2015-12-01 09:24:57.397050,ICP-083
220,F:\APPS\CofA,ICP-083@CP-4838.pdf,2016-09-26 10:31:19.904779,ICP-083
221,F:\APPS\CofA,ICP-083@CR-3221.pdf,2017-07-14 14:51:59.666806,ICP-083
222,F:\APPS\CofA,ICP-083@J00338.pdf,2015-04-22 09:56:36.144662,ICP-083
223,F:\APPS\CofA,ICP-083@J01092.pdf,2015-04-22 09:57:13.913262,ICP-083
224,F:\APPS\CofA,ICP-083@K00914.pdf,2015-04-22 09:57:48.890462,ICP-083
225,F:\APPS\CofA,ICP-083@M00246.pdf,2015-04-22 09:58:59.590662,ICP-083
226,F:\APPS\CofA,ICP-083@T00507.pdf,2015-03-25 10:14:09.072825,ICP-083
227,F:\APPS\CofA,ICP-183@CP-2124.pdf,2016-05-03 06:43:10.155076,ICP-183
228,F:\APPS\CofA,ICP-183@CP-2125.pdf,2016-05-03 12:00:07.292638,ICP-183
229,F:\APPS\CofA,ICP-183@CR-3206.pdf,2017-07-14 14:51:26.981262,ICP-183
230,F:\APPS\CofA,ICP-183@CS-1255.pdf,2018-03-19 12:46:44.529718,ICP-183
231,F:\APPS\CofA,ICP-183@CS-1305.pdf,2018-03-21 14:57:08.945319,ICP-183
232,F:\APPS\CofA,ICP-183@H00260A.pdf,2015-05-14 12:59:12.660684,ICP-183
233,F:\APPS\CofA,ICP-183@J00752.pdf,2015-05-14 12:59:50.383484,ICP-183
234,F:\APPS\CofA,ICP-183@J01075.pdf,2015-05-14 13:00:28.479684,ICP-183
235,F:\APPS\CofA,ICP-183@K00736.pdf,2015-05-14 13:01:08.588284,ICP-183
236,F:\APPS\CofA,ICP-183@L00705.pdf,2015-05-14 13:01:39.648884,ICP-183
237,F:\APPS\CofA,ICP-183@M00201.pdf,2015-05-14 13:02:14.360884,ICP-183
238,F:\APPS\CofA,ICP-183@M01249.pdf,2015-05-14 13:02:45.718884,ICP-183
239,F:\APPS\CofA,ICP-183@P00401.pdf,2015-05-14 13:03:21.148484,ICP-183
240,F:\APPS\CofA,ICP-183@T00167.pdf,2015-06-11 11:27:24.622223,ICP-183
241,F:\APPS\CofA,IAA-205@J00072.pdf,2015-03-25 09:26:26.542827,IAA-205
242,F:\APPS\CofA,IAA-205@J00705.pdf,2015-03-25 09:27:14.125188,IAA-205
243,F:\APPS\CofA,IAA-205@J00742.pdf,2015-03-25 09:29:24.607770,IAA-205
244,F:\APPS\CofA,IAA-205@K00667.pdf,2015-03-25 09:30:07.165934,IAA-205
245,F:\APPS\CofA,IAA-205@L01340.pdf,2015-03-25 09:30:53.546220,IAA-205
246,F:\APPS\CofA,IAA-205@M01189.pdf,2015-03-25 09:32:45.895532,IAA-205
247,F:\APPS\CofA,IAA-205@N082242.pdf,2016-12-27 13:42:28.734075,IAA-205
248,F:\APPS\CofA,IAA-205@N083568.pdf,2018-10-15 11:25:40.087004,IAA-205
249,F:\APPS\CofA,IAA-205@R00390.pdf,2015-03-25 09:25:43.459707,IAA-205
250,F:\APPS\CofA,IAA-005@E00349Z.pdf,2015-03-19 11:26:52.113329,IAA-005
251,F:\APPS\CofA,IAA-005@K00924.pdf,2015-03-19 11:27:16.872491,IAA-005
252,F:\APPS\CofA,IAA-005@N081460.pdf,2015-11-17 09:28:05.128627,IAA-005
253,F:\APPS\CofA,ICP-005@CM-4488.pdf,2017-04-26 11:40:21.245479,ICP-005
254,F:\APPS\CofA,ICP-005@CR-4368.pdf,2017-10-10 12:29:36.969656,ICP-005
255,F:\APPS\CofA,ICP-005@IH-0241.pdf,2015-11-05 09:29:19.418016,ICP-005
256,F:\APPS\CofA,ICP-005@IH-0700.pdf,2015-11-05 15:04:57.490503,ICP-005
257,F:\APPS\CofA,ICP-005@J00705.pdf,2015-04-08 16:17:05.881100,ICP-005
258,F:\APPS\CofA,ICP-005@l01094.pdf,2015-04-08 16:17:48.874976,ICP-005
259,F:\APPS\CofA,ICP-005@R00390.pdf,2015-03-25 10:08:41.886109,ICP-005
260,F:\APPS\CofA,ICP-105@CS-1374.pdf,2018-03-27 17:53:53.034754,ICP-105
261,F:\APPS\CofA,ICP-105@H00012A.pdf,2015-04-22 11:14:54.990665,ICP-105
262,F:\APPS\CofA,ICP-105@J01243.pdf,2015-04-22 11:15:48.916219,ICP-105
263,F:\APPS\CofA,ICP-105@K00924.pdf,2015-04-01 12:26:59.168533,ICP-105
264,F:\APPS\CofA,ICP-105@K00924A.pdf,2015-11-05 07:17:07.407186,ICP-105
265,F:\APPS\CofA,ICP-305@AU-00006.pdf,2015-04-17 10:00:16.747000,ICP-305
266,F:\APPS\CofA,ICP-305@AU-00006pdf.pdf,2015-03-31 11:30:19.660975,ICP-305
267,F:\APPS\CofA,ICP-305@AU-00982.pdf,2017-06-07 10:14:36.300000,ICP-305
268,F:\APPS\CofA,ICP-405@AU-00003.pdf,2016-08-25 11:28:23.734000,ICP-405
269,F:\APPS\CofA,ICP-405@AU-01134.pdf,2017-04-11 11:40:43.155678,ICP-405
270,F:\APPS\CofA,IAA-248@CP-2322.pdf,2016-05-16 11:26:50.270177,IAA-248
271,F:\APPS\CofA,IAA-248@J00298.pdf,2015-03-26 12:02:55.873948,IAA-248
272,F:\APPS\CofA,IAA-248@J01036.pdf,2015-03-26 12:03:43.012424,IAA-248
273,F:\APPS\CofA,IAA-248@K00723.pdf,2015-03-26 12:04:21.876627,IAA-248
274,F:\APPS\CofA,IAA-248@L00440.pdf,2015-03-26 12:12:53.994162,IAA-248
275,F:\APPS\CofA,IAA-248@M00366.pdf,2015-03-18 09:32:52.348272,IAA-248
276,F:\APPS\CofA,IAA-048@E00352Z.pdf,2015-03-24 12:48:31.921446,IAA-048
277,F:\APPS\CofA,IAA-048@K00113.pdf,2015-03-24 12:50:18.114646,IAA-048
278,F:\APPS\CofA,IAA-048@M01082.pdf,2015-03-20 11:29:13.256549,IAA-048
279,F:\APPS\CofA,IAA-048@N082143.pdf,2016-10-28 09:28:20.995946,IAA-048
