QCDate,ProductID,ProductNo,ProductName,LineID,Description,Specials,OriginationDate,EntryDate,Status,MatrixNumber,Components,Availability,EquivalentSoln,EquivalentNeat,Packaging,Storage,ExpirationDate,ShipType,UN#,ShipClass,PackGrp,ShipSpecial,Hazard1,Hazard2,Hazard3,Prop65,MSDS,Analysis,CofAHeader,Agilent#,Tedia#,ProdNotes,MatrixNotes,RecipeId,RushPriority,IsVoided,SagePartNumber,ProductLevel,DateInserted,CofATemplate,UniqueRequestID,Test_Timestamp,PfIDNo,PfBatchID,OrdID,QuoteNo,PfSentTo,PrepDate,PrepVolume,PrepUnit,PrepVessel,PrepVBarcode,PrdSaleUnit,PrepMatrixNo,PrepMatrixLot,PrepInits,PrepMemo,PrepNotebookRef,BulkQCStatus,BulkQCDate,BulkPassFail,BulkQCInits,BulkQCMemo,BulkLotNo,AmpRetains,AmpDate,AmpPreLabel,AmpNumberGood,AmpNumberBad,AmpBulkRemain,AmpTimeIn,AmpTimeOut,AmpInits,QCStatus,QCPassFail,QCAuthInits,QCMemo,QCMethod,LotNo,QCExpMonth,QCExpDate,QCSellBy,QCFullValidation,QCValidation,FgInvCount,FgAccpacNote,CofAHeaderNo,QCChromatogram,Correct,DoNotCorrect,DensityUnit,DensityTemp,recipeid
2020-01-30,,LOC-025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289,NB952238,,Prodflow I,done,1995-11-21 00:00:00,250.0,mL,1.0,,ampule,JHP-021,34222,ALF,ALF S15-37,ALF-S15-37,,,,,,,,1995-11-27 00:00:00,False,179.0,0.0,,1899-12-30 02:20:00,1899-12-30 03:10:00,ZMA,,PASS,KFM,"datapak required
alf-s15-37",,J-2173,,,,True,2.0,,,2.0,,False,True,,,
2020-01-22,,CUS-3541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10238,NC001603,,Prodflow I,done,2000-11-21 00:00:00,100.0,mL,1.0,,ampule,JHP-031,39104,RAA,RAA S79-141,RAA-S79-141,,,,,,,,2000-11-22 00:00:00,False,72.0,1.0,,1899-12-30 01:15:00,1899-12-30 01:30:00,ZMA,,PASS,JER,gravimetric,,R-1569,,2002-12-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,CUS-2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661,NB981033,,Prodflow I,done,1998-07-14 00:00:00,100.0,mL,1.0,,ampule,JHP-021,38007,RAA,RAA S56-75,RAA-S56-75,,,,,,,,1998-07-17 00:00:00,False,16.0,0.0,,1899-12-30 04:35:00,1899-12-30 04:40:00,ZMA,,PASS,JER,gravimetric,,M-1042,,,,False,1.0,,,1.0,,False,True,,,
2020-01-22,,QWS-285-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10170,NC001535,,Prodflow I,done,2000-11-08 00:00:00,250.0,mL,1.0,,ampule,JHP-001,39133,CFC,CFC-S12-93,CFC-S12-93,,,,,,,,2000-11-09 00:00:00,False,101.0,0.0,,1899-12-30 03:20:00,1899-12-30 03:35:00,ZMA,,PASS,JMB,,,R-1496,,,,True,2.0,,,2.0,,False,True,,,
2020-01-23,,CUS-3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10831,NC010462,,Prodflow I,done,2001-04-06 00:00:00,200.0,mL,1.0,,ampule,JHP-021,40167,RAA,RAA S83-97,RAA-S83-97,,,,,,,,2001-04-09 00:00:00,False,134.0,0.0,,1899-12-30 10:15:00,1899-12-30 10:40:00,ZMA,,PASS,MRC,GRAVIMETRIC,,S-0439,,2002-05-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,CUS-3677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10832,NC010463,,Prodflow I,done,2001-04-06 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40167,RAA,RAA S83-105,RAA-S83-105,,,,,,,,2001-04-09 00:00:00,False,71.0,0.0,,1899-12-30 10:55:00,1899-12-30 11:10:00,ZMA,,PASS,MRC,GRAVIMETRIC,,S-0440,,2002-05-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,CUS-3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10842,NC010473,,Prodflow I,done,2001-04-09 00:00:00,100.0,mL,1.0,,ampule,JHP-001,40007,RAA,RAA S83-101,RAA-S83-101,,,,,,,,2001-04-10 00:00:00,False,71.0,1.0,,1899-12-30 08:55:00,1899-12-30 09:10:00,ZMA,,PASS,MRC,GRAVIMETRIC,,S-0443,,2002-05-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-28,,CUS-3678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10843,NC010474,,Prodflow I,done,2001-04-09 00:00:00,100.0,mL,1.0,,ampule,JHP-040,FOMN323286,RAA,RAA S83-109,RAA-S83-109,,,,,,,,2001-04-10 00:00:00,False,138.0,10.0,,1899-12-30 01:20:00,1899-12-30 01:40:00,ZMA,,PASS,MRC,GRAVIMETRIC,,S-0444,,2004-05-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,CUS-3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10844,NC010475,,Prodflow I,done,2001-04-09 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40167,RAA,"RAA S83-113
",RAA-S83-113,,,,,,,,2001-04-10 00:00:00,False,70.0,0.0,,1899-12-30 09:30:00,1899-12-30 09:45:00,ZMA,,PASS,MRC,GRAVIMETRIC,,S-0445,,2003-05-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,CUS-3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10853,NC010484,,Prodflow I,done,2001-04-10 00:00:00,100.0,mL,1.0,,ampule,JHP-001,40007,RAA,"RAA S83-103
",RAA-S83-103,,,,,,,,2001-04-13 00:00:00,False,70.0,2.0,,1899-12-30 09:35:00,1899-12-30 09:50:00,ZMA,,PASS,MRC,GRAVIMETRIC,,S-0463,,2003-05-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-25,,CUS-3532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10172,NC001537,,Prodflow I,done,2000-11-08 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S79-73,RAA-S79-73,,,,,,,,2000-11-09 00:00:00,False,71.0,0.0,,1899-12-30 02:05:00,1899-12-30 02:20:00,ZMA,,PASS,JER,gravimetric,,R-1487,,2002-12-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,CUS-3533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10173,NC001538,,Prodflow I,done,2000-11-08 00:00:00,200.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S79-75,RAA-S79-75,,,,,,,,2000-11-09 00:00:00,False,140.0,0.0,,1899-12-30 02:55:00,1899-12-30 03:05:00,ZMA,,PASS,JER,gravimetric,,R-1488,,2001-12-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,QWS-555-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10175,NC001540,,Prodflow I,done,2000-11-09 00:00:00,250.0,mL,1.0,,ampule,JHP-029,38064,CFC,CFC-S12-101,CFC-S12-101,,,,,,,,2000-11-14 00:00:00,False,97.0,0.0,,1899-12-30 01:15:00,1899-12-30 01:35:00,ZMA,,PASS,KFM,,,R-1606,,,,True,2.0,,,2.0,,False,True,,,
2020-01-24,,CUS-3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10185,NC001550,,Prodflow I,done,2000-11-10 00:00:00,100.0,mL,1.0,,ampule,JHP-032,30226/37254,RAA,"RAA S79-91
1-CHLORONAPHTHALENE CONTAINS 10% 2-CHLORONAPHTHALENE, THEREFORE A ì
CORRECTION WAS NECESSARY",RAA-S79-91,,,,,,,,2000-11-13 00:00:00,False,72.0,1.0,,1899-12-30 04:20:00,1899-12-30 04:35:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-1510,,2001-12-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-27,,CUS-3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10187,NC001552,,Prodflow I,done,2000-11-13 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S79-97,RAA-S79-97,,,,,,,,2000-11-16 00:00:00,False,73.0,0.0,,1899-12-30 04:35:00,1899-12-30 04:50:00,ZMA,,PASS,JER,gravimetric,,R-1517,,2003-12-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-27,,CUS-3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10192,NC001557,,Prodflow I,done,2000-11-14 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S79-101,RAA-S79-101,,,,,,,,2000-11-15 00:00:00,False,75.0,0.0,,1899-12-30 04:15:00,1899-12-30 04:30:00,ZMA,,PASS,JER,gravimetric,,R-1519,,2001-12-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-27,,CUS-2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10283,NC001648,,Prodflow I,done,2000-12-04 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-13,RAA-S80-13,,,,,,,,2000-12-05 00:00:00,False,70.0,0.0,,1899-12-30 01:35:00,1899-12-30 01:45:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-1617,,2003-01-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-23,,CUS-2984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6678,NB990121,,Prodflow I,done,1999-01-25 00:00:00,200.0,mL,1.0,,ampule,JHP-021,38273,RAA,RAA S61-167,RAA-S61-167,,,,,,,,1999-01-26 00:00:00,False,30.0,0.0,,1899-12-30 01:20:00,1899-12-30 01:25:00,Z&S,,PASS,JER,GRAVIMETRIC,,P-0148,,,,False,1.0,,,1.0,,False,True,,,
2020-01-23,,QWM-305B-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10284,NC001649,,Prodflow I,done,2000-12-05 00:00:00,500.0,mL,1.0,,ampule,JHP-001,40007,AHS,"AHS-S12-93
SONICATED",AHS-S12-93,,,,,,,,2000-12-06 00:00:00,False,187.0,0.0,,1899-12-30 03:05:00,1899-12-30 03:25:00,ZMA,,PASS,JER,,,S-0173,,,,True,2.0,,,2.0,,False,True,,,
2020-01-24,,CUS-3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10287,NC001652,,Prodflow I,done,2000-12-05 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-23,RAA-S80-23,,,,,,,,2000-12-07 00:00:00,False,71.0,0.0,,1899-12-30 09:40:00,1899-12-30 10:10:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-1631,,2001-03-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-24,,QWP-105-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290,NC001655,,Prodflow I,done,2000-12-06 00:00:00,250.0,mL,1.0,,ampule,JHP-021,40215,CFC,CFC-S12-143,CFC-S12-143,,,,,,,,2000-12-06 00:00:00,False,97.0,0.0,,1899-12-30 03:35:00,1899-12-30 03:50:00,ZMA,,PASS,KFM,,,S-0063,,,,True,2.0,,,2.0,,False,True,,,
2020-02-13,,CUS-3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10294,NC001659,,Prodflow I,done,2000-12-06 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-27,RAA-S80-27,,,,,,,,2000-12-07 00:00:00,False,70.0,0.0,,1899-12-30 10:45:00,1899-12-30 11:00:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-1627,,2002-01-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-27,,CUS-3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10304,NC001669,,Prodflow I,done,2000-12-08 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-41,RAA-S80-41,,,,,,,,2000-12-11 00:00:00,False,16.0,0.0,,1899-12-30 04:00:00,1899-12-30 04:10:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-1640,,2002-01-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-27,,CUS-3443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9688,NC001053,,Prodflow I,done,2000-08-01 00:00:00,100.0,mL,1.0,,ampule,JHP-021,39263,RAA,RAA S76-105,RAA-S76-105,,,,,,,,2000-08-01 00:00:00,False,16.0,0.0,,1899-12-30 04:15:00,1899-12-30 04:25:00,ZMA,,PASS,JER,gravimetric,,R-1070,,,,False,1.0,,,1.0,,False,True,,,
2020-01-27,,QWM-305A-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10305,NC001670,,Prodflow I,done,2000-12-11 00:00:00,200.0,mL,1.0,,ampule,JHP-001,40007,CFC,"CFC-S12-151
SONICATED",CFC-S12-151,,,,,,,,2000-12-11 00:00:00,False,84.0,0.0,,1899-12-30 03:20:00,1899-12-30 03:40:00,ZMA,,PASS,JER,,,S-0172,,,,True,2.0,,,2.0,,False,True,,,
2020-02-04,,CUS-3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10307,NC001672,,Prodflow I,done,2000-12-11 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-43,RAA-S80-43,,,,,,,,2000-12-12 00:00:00,False,72.0,0.0,,1899-12-30 11:00:00,1899-12-30 11:15:00,ZMA,,PASS,JER,GRAVIMETRIC,,R-1635,,2003-01-31 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-28,,CUS-3574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10429,NC010060,,Prodflow I,done,2001-01-12 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-175,RAA-S80-175,,,,,,,,2001-01-15 00:00:00,False,73.0,0.0,,1899-12-30 11:50:00,1899-12-30 12:05:00,ZMA,,PASS,JER,gravimetric,,S-0048,,2001-04-30 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-29,,CUS-3575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10430,NC010061,,Prodflow I,done,2001-01-12 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40167,RAA,RAA S80-177A,RAA-S80-177A,,,,,,,,2001-01-15 00:00:00,False,73.0,0.0,,1899-12-30 01:10:00,1899-12-30 01:25:00,ZMA,,PASS,JER,gravimetric,,S-0049,,2004-02-29 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-06,,CUS-3576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10431,NC010062,,Prodflow I,done,2001-01-12 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40167,RAA,RAA S80-177B,RAA-S80-177B,,,,,,,,2001-01-15 00:00:00,False,74.0,0.0,,1899-12-30 01:30:00,1899-12-30 01:45:00,ZMA,,PASS,JER,gravimetric,,S-0050,,2004-02-29 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-06,,CUS-3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10432,NC010063,,Prodflow I,done,2001-01-12 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-179A,RAA-S80-179A,,,,,,,,2001-01-15 00:00:00,False,75.0,0.0,,1899-12-30 11:20:00,1899-12-30 11:35:00,ZMA,,PASS,JER,gravimetric,,S-0051,,2004-02-29 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-11,,CUS-3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10433,NC010064,,Prodflow I,done,2001-01-12 00:00:00,100.0,mL,1.0,,ampule,JHP-021,40215,RAA,RAA S80-179B,RAA-S80-179B,,,,,,,,2001-01-15 00:00:00,False,76.0,0.0,,1899-12-30 02:00:00,1899-12-30 02:15:00,ZMA,,PASS,JER,gravimetric,,S-0052,,2004-02-29 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-01-30,,CUS-3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10434,NC010065,,Prodflow I,done,2001-01-12 00:00:00,100.0,mL,1.0,,ampule,JHP-031,39104,RAA,RAA S80-181,RAA-S80-181,,,,,,,,2001-01-15 00:00:00,False,73.0,1.0,,1899-12-30 03:15:00,1899-12-30 03:30:00,ZMA,,PASS,JER,gravimetric,,S-0053,,2002-02-28 00:00:00,,False,1.0,,,1.0,,False,True,,,
2020-02-03,,CUS-2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9027,NC000391,,Prodflow I,done,2000-03-17 00:00:00,100.0,mL,1.0,,ampule,JHP-031,39104,RAA,RAA S73-25A,RAA-S73-25A,,,,,,,,2000-03-22 00:00:00,False,64.0,0.0,,1899-12-30 03:45:00,1899-12-30 03:55:00,ZMA,,PASS,JER,gravimetric,,R-0388,,,,False,1.0,,,1.0,,False,True,,,
